Item Name,Link,Vendor,Qty,Price,Budget category
"Single Four Slot Rails 1"" x 1"" (700mm)",,Final report Table 4,,$101.99,standard 1000 allowance
"Single Four Slot Rails 1"" x 1"" (670mm)",,Final report Table 4,2,$28.16,standard 1000 allowance
"10, 20, & 25 Series 2 Hole - 18mm Slotted Inside Corner Bracket with Dual Support",,Final report Table 4,10,$12.70,standard 1000 allowance
10 Series M6 Standard Slide-in T-Nut,,Final report Table 4,10,$16.10,standard 1000 allowance
M6 Slide-in Economy T-Nut Block,,Final report Table 4,10,$5.30,standard 1000 allowance
20pcs 10 Extruded Aluminum Corner with T Slide Nuts Bolts,,Final report Table 4,1,$20.88,standard 1000 allowance
"Single Four Slot Rails 1"" x 1"" (678mm)",,Final report Table 4,2,$28.42,standard 1000 allowance
"1"" x 1"" x 3/ "" HOT ROLLED BAR SIZE ANGLE ASTM A36 （12""） 16",,Final report Table 4,1,$6.82,standard 1000 allowance
"1"" x 1"" x ¼"" ANGLE 6061-T6 ASTM B308 (12"")",,Final report Table 4,1,$6.33,standard 1000 allowance
"2"" x 1"" x ⅛"" WALL RECTANGULAR TUBE 6061-T6",,Final report Table 4,10',$82.20,standard 1000 allowance
"6061 Aluminum Bar ⅛"" Thick x 3"" Wide",,Final report Table 4,2',$11.44,standard 1000 allowance
Mesh Office Chair Height Adjustable 400 lbs,,Final report Table 4,1,$69.99,standard 1000 allowance
"1"" x 1¼"" FLAT 6061-T6511 ASTM B221",,Final report Table 4,5',$48.95,standard 1000 allowance
"1"" x 2½"" FLAT 6061-T6511 ASTM B221",,Final report Table 4,2',$48.72,standard 1000 allowance
"Alloy Steel Shoulder Screw ½"" Diameter, 2¼"" Length, ⅜""-16 Thread",,Final report Table 4,6,$23.88,standard 1000 allowance
"1½"" x 1½"" x ⅛"" ANGLE 6061-T6 ASTM B308",,Final report Table 4,2',$11.36,standard 1000 allowance
"2"" x 1"" x ⅛"" WALL RECTANGULAR TUBE 6061-T6",,Final report Table 4,6',$46.08,standard 1000 allowance
"Oil-Embedded 863 FeCu Sleeve Bearing ½"" Diameter ⅝"" Housing, 1"" Long",,Final report Table 4,22,$36.08,standard 1000 allowance
"Oil-Embedded 863 FeCu Sleeve Bearing ½"" Diameter, ⅝"" Housing, ¾"" Long",,Final report Table 4,6,$6.24,standard 1000 allowance
"Alloy Steel Shoulder Screw, ½"" Diameter, 3"" Length, ⅜""-16 Thread",,Final report Table 4,5,$22.90,standard 1000 allowance
